,user,text,favorite_count,retweet_count,created_at
0,nanashimumei_en,"Learning new words n stuff today so I can be hip! fr fr

▶️ https://t.co/bEqWUhKDL8 https://t.co/NDYpWGXaPZ",1976,187,2022-12-12 20:55:32+00:00
1,nanashimumei_en,Starting now! :D https://t.co/fJgxAqYE7Q,1880,129,2022-12-12 03:41:46+00:00
2,nanashimumei_en,"thumbnail art !!
https://t.co/qskEVR0oFh",798,33,2022-12-12 02:50:42+00:00
3,nanashimumei_en,"【GETTING OVER IT】 

On my own this time🦉I wanna go fast(er) !!

▶️ https://t.co/fCwKnjiW7l https://t.co/IuJCK0L9iN",3230,339,2022-12-12 01:50:46+00:00
4,nanashimumei_en,Starting now! :D https://t.co/heRayj3qEW,1920,151,2022-12-11 04:31:08+00:00
5,nanashimumei_en,Nothing can be sweeter than Fauna 💚🦉,11453,511,2022-12-11 03:37:57+00:00
6,nanashimumei_en,"【POKÉMON VIOLET】

I have prepared.. many eggs. I will get a shiny this time for sure!!! 💛

▶️https://t.co/OTKCCWJ6rr https://t.co/Y3jPxTNeTr",2442,247,2022-12-11 02:07:41+00:00
7,nanashimumei_en,!!! 💚💚💚 https://t.co/Uu3uSHHrUx,3255,192,2022-12-10 23:12:31+00:00
8,nanashimumei_en,mooooooooooooooooooomin,9600,463,2022-12-10 05:06:05+00:00
9,nanashimumei_en,👀♥️ https://t.co/diOVdTkZo3,2572,144,2022-12-10 02:15:18+00:00
10,nanashimumei_en,I have too much work to do to stream at all ah ; w ; late night shiny breeding and hatching tomorrow https://t.co/aksXCTPOIU,3080,174,2022-12-10 02:14:50+00:00
11,nanashimumei_en,I will have to do a shorter stream tomorrow instead of my planned Pokemon shiny hunt🦉,4013,182,2022-12-09 04:07:09+00:00
12,nanashimumei_en,🥹🤎 https://t.co/eBT6uJdQvX,4301,231,2022-12-08 23:08:30+00:00
13,nanashimumei_en,"Thank you for listening to my continued efforts of singing JP songs! I want to get better, and less nervous ...🦉

きてくれてありがとうございました！
日本語で歌えるようになりたい ！日本の歌はたくさん好きです ＾＾
次回は緊張しないようにします！🤎",5757,421,2022-12-08 07:02:36+00:00
14,nanashimumei_en,Starting now! https://t.co/8gW9EfNG8E,2423,238,2022-12-08 04:46:02+00:00
15,nanashimumei_en,"【歌枠 KARAOKE】

I will try singing Japanese songs today! 日本語は話せないが、頑張ります！

▶️ https://t.co/i5PsJyaWxh https://t.co/KO8caFmnHm",3701,520,2022-12-07 22:37:57+00:00
16,nanashimumei_en,Starting now! :D https://t.co/m0g2T1Z5pG,2030,147,2022-12-07 02:00:33+00:00
